content,topic
"Фото: Комплекс градостроительной политики и строительства города Москвы
В Савеловском районе Москвы, недалеко от станции метро «Савеловская», до конца 2025 года будет достроен и введен в эксплуатацию новый деловой центр Twist, рассказал заммэра столицы по вопросам градостроительной политики и строительства Андрей Бочкарев.
Комплекс будет включать в себя 42 офисных помещения общей площадью 19 тыс. кв. м. На строительной площадке уже стартовали монолитные работы, в частности монтаж распорной системы, необходимой для укрепления котлована. Строительство идет на средства частного инвестора, девелопером выступает компания «Sminex-Интеко».
Вице-мэр Бочкарев подчеркнул, что будущий бизнес-центр расположится в сердце крупного транспортного узла. В непосредственной близости проходят Третье транспортное кольцо (ТТК) и Бутырская улица, также неподалеку находится Савеловский вокзал, через который проходят первый и четвертый маршруты городской электрички МЦД. Заммэра особо отметил динамичный и футуристический дизайн здания: «Каждый последующий его этаж по площади больше предыдущего, а само здание «закручивается» в виде вихря».",6
"Фото: Комплекс градостроительной политики и строительства города Москвы
Три метромоста возвели столичные строители на соединительных ветках Большой кольцевой линии (БКЛ) метро с электродепо «Аминьевское», сообщил заммэра Москвы по вопросам градостроительной политики и строительства Андрей Бочкарев.
По его словам, мосты представляют собой П-образные галереи из металлических конструкций, установленные на железобетонные пролетные строения. «Сверху сооружения облицованы металлической кровлей, а по бокам — декоративными ламелями, — уточнил вице-мэр. — Все материалы высококачественные и устойчивые к погодным проявлениям».
По мнению главы столичного градостроительного комплекса, новые сооружения уже стали частью городского облика: «Основным цветом отделки метромостов стал серый кварцевый, при этом пролетные бетонные балки выполнены в бирюзовом — цвете Большой кольцевой линии метро».
В свою очередь, глава инжинирингового холдинга «Мосинжпроект» Юрий Кравцов сообщил, что один из мостов возведен на соединительной ветке от станции «Аминьевская», он проходит над рекой Навершкой. А еще две эстакады, которые используются для заезда и выезда из депо от станции «Давыдково», проходят над рекой Сетунь и улицей Верейской.
Глава холдинга, специалисты которого построили и реконструировали 12 электродепо, напомнил, что «Аминьевское» предназначено для ремонта и отстоя поездов БКЛ. Наряду с ним подвижной состав Большого кольца обслуживают депо «Замоскворецкое» и «Нижегородское».
Напомним, электродепо «Аминьевское» расположено на западе столицы у пересечения улиц Генерала Дорохова и Верейской. Мэр Москвы Сергей Собянин, открывая это сооружение, сообщил, что новое электродепо позволит увеличить количество поездов на БКЛ на 20–25%. В результате заметно сократятся интервалы движения составов по Большой кольцевой линии.",6
"Авиабаза Футенма (Фото: Carl Court / Getty Images)
В японской префектуре Окинава начались строительные работы новой военной базы США, куда будет перенесена уже существующая американская база Футенма, сообщил генеральный секретарь кабинета министров Японии Ёсимаса Хаяси на пресс-конференции, передает газета Asahi.
«Мы получили сообщение от Министерства обороны о том, что строительство на стороне залива Оура начнется сегодня, поскольку необходимые приготовления были завершены. <...> Исходя из политики правительства, согласно которой переезд в Хеноко является единственным решением, последовательное продолжение строительства позволит как можно скорее полностью вернуть авиабазу Футенма и устранить связанные с ней опасности», — заявил Хаяси.
Он уточнил, что период строительства, предположительно, продлится девять лет и три месяца.
В Японии разбился американский конвертоплан
Политика
Американская военная база, а именно аэродром Футенма, была построена в Японии в 1945 году в городе Гинован (находится в префектуре Окинава на острове. Там расположена база Корпуса морской пехоты США. Переместить базу собираются в город Наго в район Хеноко (тоже расположен в Окинаве).
Местные жители и власти Окинавы уже несколько лет находятся в конфликте с правительством Японии из-за этой военной базы. Одной из причин является то, что аэродром Футенма расположен прямо в центре города, в окружении жилых домов и школ, и местные власти называют ее «самой опасной базой в мире». Кроме того, жители Окинавы никогда не предлагали свою землю для строительства военной базы США, говорится в сообщении на сайте правительства префектуры, опубликованном в 2016 году.
Мэр Окинавы Ацуси Сакима отмечал, что военная база занимает 25% общей площади города, «представляет опасность и ухудшает повседневную жизнь, например из-за шумового воздействия». «Расположение аэродрома является решающим препятствием для городских функций, транспортной системы и общего развития города, препятствуя финансовому развитию города», — объяснял он.
Программа развития РБК Pro
Освойте 52 навыка за год
Программа развития — удобный инструмент непрерывного обучения новым навыкам для успешной карьеры
Какие неочевидные причины заставляют вас прокрастинировать
Хорошие связи: на какие стили можно разложить нетворкинг
Руководитель, от которого не уходят: как заслужить лояльность подчиненных
Если вы устали, дауншифтинг — не выход. Как сохранить карьеру
Как запоминать по 30 страниц — советы шведского Гранд-мастера памяти
9 способов сделать встречи продуктивнее — от простых до радикальных",6
"Открытый в 2023 году в Раменках инновационный кластер «Ломоносов» (Фото: пресс-служба Департамента строительства Москвы)
Уходящий год ознаменовался для столичного стройкомплекса обновлением нескольких рекордов и вводом в эксплуатацию ряда знаковых объектов. Однако на этом строители не останавливаются и планируют в 2024 году завершить работу по другим активным проектам и приступить к реализации новых. Об этом на пресс-конференции о ходе реализации адресной инвестиционной программы и программы реновации рассказал глава департамента строительства Москвы Рафик Загрутдинов.
«Из года в год мы увеличиваем не только объемы финансирования строительства, но и показатели ввода как по линейным объектам, так и по площади, — рассказал Рафик Загрутдинов. — Не считая инфраструктурных проектов, сейчас у нас в активной работе 470 объектов недвижимости различного назначения суммарной площадью 10 млн кв. м. Из этого только на 2024 год у нас запланирован ввод 220 объектов, площадь которых составит 5,3 млн кв. м».
Самые крупные и заметные для горожан объекты, появившиеся за последний год, связаны с транспортом — это замыкание Большой кольцевой линии (БКЛ) метро и открытие Московского скоростного диаметра (МСД) в черте МКАД.
Обладая протяженностью более 70 км, БКЛ стала самым большим метрокольцом в мире. Строительство линии велось более десяти лет и являлось крупнейшим проектом за почти 80-летнюю историю московского метро. Запуск движения по полному ходу кольца в марте 2023 года сократил время в пути для миллионов москвичей, создал новые межрайонные связи и центры притяжения.
Платформенный зал станции БКЛ «Сокольники» в день открытия, 1 марта 2023 года
(Фото: Михаил Гребенщиков / РБК)
В свою очередь, МСД — бессветофорная автомагистраль, представляющая собой объединение Северо-Восточной и Юго-Восточной хорд. В 2023 году произошли два знаковых события, связанных с МСД, — запуск движения по южному направлению и продление МСД за пределы МКАД в сторону Некрасовки, где она сомкнулась с трассой М-12 «Восток». Тем самым уже сейчас без поворотов и съездов можно проехать от Санкт-Петербурга до Казани (а в перспективе и за Урал).
Рассказываем о других значимых итогах московского департамента строительства в 2023 году и планах на 2024-й — в транспортной сфере и не только.
Инфраструктура и благоустройство
Помимо масштабных работ по проекту МСД в 2023 году московские строители завершили первый этап реконструкции развязки МКАД с Липецкой улицей, проложили мост через затон Новинки в районе ЗИЛа, а также провели реконструкцию Старо-Рублевского путепровода через железнодорожные пути МЦД-1. «По-прежнему на реконструкции находятся две развязки на МКАД: на пересечении с Алтуфьевским шоссе и на пересечении с улицами Верхние Поля и Капотня», — добавил Загрутдинов. Кроме того, в уходящем году был благоустроен участок Шелепихинской набережной от делового центра «Москва-Сити» до съезда на проспект Багратиона.
Реконструкция развязки МКАД с Липецкой улицей
(Фото: пресс-служба Департамента строительства Москвы)
В планах на 2024 год — закончить реконструкцию развязок на МКАД, продлить южное направление МСД до пересечения с автодорогой Солнцево — Бутово — Варшавское шоссе, благоустроить еще пять набережных (Крутицкую, Симоновскую, Шелепихинскую, Карамышевскую и Тараса Шевченко), а также построить ряд путепроводов — на Ленинградском шоссе, дублере Калужского шоссе и в районе Дубнинской улицы. Строители также собираются достроить несколько возводимых сегодня мостов — автомобильный через Москву-реку в Мнёвниках и пешеходные через Нагатинский затон, через Яузу у МГТУ им. Баумана, а также на остров Балчуг у «Красного Октября».
Ряд объектов, по словам главы депстроя, в наступающем году только начнут возводить. Среди них — путепроводы в Зеленограде и Южном Медведково, еще один мост в районе Мнёвниковской поймы и другие.
Жилое строительство и реновация
При плане в 4,8 млн кв. м жилья на весь 2023 год в Москве уже к ноябрю было введено свыше 5,6 млн кв. м жилой недвижимости. Примерно шестая часть всего объема — строительство по программе реновации. Работает она уже более шести лет, но темпы ее с каждым годом нарастают. Так, в 2023 году были демонтированы более 190 старых домов и сданы свыше 60 новых, в новые светлые квартиры переехали более 40 тыс. москвичей. В 2024 году столичные власти запланировали вовлечь в переселение уже 53 тыс. горожан.
Дом по программе реновации, по адресу: Севастопольский пр, 71к1
(Фото: Департамент строительства Москвы)
Особое внимание Загрутдинов уделил применению технологии «умного» сноса старых хрущевок, который, по сути, представляет собой скорее не снос, а поэтапный разбор здания по строгому алгоритму с упором на переработку и повторное использование стройматериалов. Масштабирование этого принципа на все площадки реновации позволило в уходящем году увеличить число демонтированных строений вчетверо к 2022 году, пояснил глава столичного депстроя. «Мэром Москвы была поставлена задача использовать именно такую технологию при демонтаже абсолютно всех домов по программе реновации», — добавил Загрутдинов.
С осени 2023 года столичному депстрою также поручено достраивать проблемные объекты для обманутых дольщиков. За последние месяцы было завершено возведение двух долгостроев в Новой Москве, в ближайшее время будет сдан третий объект, тоже на территории ТиНАО. Всего в работе у департамента сейчас девять подобных объектов.
Образование и наука
Особенность строительства образовательных объектов в том, что значительное их число возводится частными инвесторами. За счет бюджетных же средств в 2023 году в одной только старой Москве было построено пять школ и семь детсадов, еще четыре объекта планируется ввести до конца года. Всего же в активной работе у московских строителей находится 29 образовательных объектов.
Главным строительным проектом Москвы в сфере высшего образования и науки является создание нового кампуса МГТУ им. Баумана. Это масштабный кластер, раскинувшийся на обоих берегах Яузы и состоящий из 14 зданий общей площадью 170 тыс. кв. м. Именно на 2024 год запланирована сдача ключевых объектов кампуса — многофункционального комплекса для студентов, а также «Квантум-парка» и пяти зданий в ядре территории всего научно-образовательного кластера. По словам Рафика Загрутдинова, мэр Москвы Сергей Собянин поручил завершить строительство кампуса в 2024 году. На данный момент готовность объекта глава депстроя оценивает в 60%.
Объекты здравоохранения
Знаковый проект 2023 года в сфере строительства медучреждений — открытие флагманских центров неотложной помощи при ключевых больницах города. Построенные по новому московскому стандарту экстренной помощи, эти комплексы оборудованы передовой аппаратурой, а помещения организованы с учетом распределения потоков, чтобы наиболее тяжелые пациенты получали уход в первую очередь. Некоторые флагманы также оснащены вертолетными площадками.
Флагманский центр ГКБ № 15 имени О.М. Филатова
(Фото: пресс-служба Департамента строительства Москвы)
В уходящем году в Москве департаментом строительства Москвы введено в эксплуатацию 14 медицинских объектов, включая два флагманских центра, новые поликлиники, корпуса клинических больниц и подстанцию скорой помощи в Щербинке. На 2024 год запланировано открытие еще четырех поликлиник, лучевого корпуса больницы в Коммунарке, а также пятого флагмана — при ГКБ имени В.М. Буянова на Бакинской улице в Царицыно. Другой крупный проект на стадии строительства, который к тому же находится на особом контроле Сергея Собянина, — расширение детской больницы святого Владимира в Сокольниках. В новом корпусе появятся 15 разнопрофильных операционных, Центр гравитационной хирургии крови и гемодиализа, а также отделение интенсивной терапии для новорожденных. Готовность объекта глава депстроя оценивает в 45%.
Здоровый образ жизни
Однако наравне со строительством и ремонтом поликлиник и больниц столичные власти понимают необходимость предупредить поход к специалисту пропагандой здорового образа жизни. Однако любые программы должны иметь твердую базу в виде спортивной инфраструктуры. Сейчас же, как показало недавнее исследование НИУ ВШЭ, спортплощадки находятся в пешей доступности у 67% москвичей, фитнес-центры — у 57%, а бассейны — всего у 39%.
«Мы ставим перед собой важную цель — сделать спорт доступным для всех, — подчеркнул Рафик Загрутдинов. — В обозримом будущем в каждом районе Москвы появится бассейн, каток, универсальный игровой зал». На сегодняшний день в разных районах столицы построено шесть объектов спортивной инфраструктуры, еще два готовятся к вводу, план на 2024 год — четыре сооружения.",6
"Фото: stroi_mos_ru / Telegram
Возведение нового офисного центра у метро «ЦСКА» начнется летом 2024 года, рассказал заммэра Москвы по вопросам градостроительной политики и строительства Андрей Бочкарев. Квартал будет состоять из трех корпусов переменной этажности (13, 23 и 28 этажей) общей площадью 89 тыс. кв. м и будет располагаться между северным выходом из метро и ТРЦ «Авиапарк» на месте нынешней парковки.
По оценкам Бочкарева, после открытия в трех башнях делового центра появится возможность разместить 9 тыс. рабочих мест. «Кроме того, на первых этажах зданий будут открыты магазины, кафе, рестораны и фитнес-студии», — добавил вице-мэр. Территорию вокруг офисного центра благоустроят, соединив ее с близлежащим парком «Ходынское поле» в единый ансамбль.
Со своей стороны, глава Москомархитектуры Юлиана Княжевская подчеркнула тот факт, что офисный центр на Ходынке возводится в уже сложившемся районе с большим количеством жилья, парковыми зонами, магазинами, социальной и прочей инфраструктурой. «В шаговой доступности от жилых кварталов появляются рабочие места, точки оказания услуг и сервисы, которые нужны людям регулярно, — отметила Княжевская. — Градостроительная политика Москвы как раз направлена на стимулирование инвесторов к созданию подобных объектов».",6
"В Санкт-Петербурге задержали экс-главу «Метростроя Северной столицы» и чиновника Владимира Шмидта. Задержание может быть связано с хищением средств при строительстве станции «Путиловской», передают «Фонтанка» и 78.ru
Владимир Шмидт (Фото: Антон Ваганов / ТАСС)
Бывшего главу «Метростроя Северной столицы» и действующего зампредседателя комитета по транспорту Владимира Шмидта задержали в Санкт-Петербурге. Об этом сообщили «Фонтанка» и 78.ru со ссылкой на источники.
В пресс-службе комитета по транспорту сообщили РБК, что задержание не связано с его работой в комитете.
По словам источников «Фонтанки», речь может идти о хищении средств при строительстве станции «Путиловская».
РБК обратился за комментарием в пресс-службу прокуратуры Санкт-Петербурга.
Владимир Шмидт возглавлял «Метрострой Северной столицы» с конца 2020 года до конца 2022 года. При нем компания получила статус единственного подрядчика по проектированию, строительству и реконструкции метро. Она занималась строительством станций, которые уже находились в стадии реализации, — «Казаковская», «Путиловская», «Театральная» и «Горный институт». Однако в декабре прошлого года Шмидт написал заявление об уходе. На должности его сменил Кирилл Петров, который ушел менее чем через год. Сейчас место главы «Метрострой Северной столицы» занимает Дмитрий Васильев.
До этого Шмидт долгое время был главой строительной компании «Пилон», а также занимал пост первого заместителя председателя комитета по развитию транспортной инфраструктуры Санкт-Петербурга.",6
"Проектное решение станции «Новаторская» (Фото: Департамент строительства Москвы)
Грядущий 2024-й обещает стать очередным знаковым годом в московском метростроении. В столице завершится строительство 11 станций Троицкой линии — новой радиальной ветки, которая станет одним из самых протяженных радиусов московского метро. «Все мировые столицы неизбежно растут, а с ними растет и потребность перемещения людей с окраин», — объясняет необходимость строительства новых линий метро глава департамента строительства Москвы Рафик Загрутдинов. Ожидается, что Троицкая линия уже в следующем году дойдет до Коммунарки, а в перспективе достигнет и Троицка. Впервые подземка окажется так далеко за МКАД. Рассказываем, как идут строительные работы на новом радиусе и что изменится с его появлением.
Строительство Троицкой линии началось в 2018 году. Всего на ней будет 17 станций. Длина линии составит 43 км. Новая ветка московского метро пройдет от платформы «ЗИЛ» Московского центрального кольца (МЦК) через Новую Москву до города Троицка, расположенного в 20 км от МКАД. На карте Троицкая линия будет обозначена изумрудным цветом. По оценкам московской мэрии, ею будут пользоваться около 100 тыс. человек ежедневно.

11 новый станций
Троицкая линия возводится этапами. Первая очередь от станции «ЗИЛ» до «Коммунарки» общей протяженностью около 26 км включает в себя 11 станций: «ЗИЛ», «Крымская», «Академическая», «Вавиловская», «Новаторская», «Университет Дружбы Народов», «Генерала Тюленева», «Тютчевская», «Корниловская», «Бачуринская» и «Коммунарка». На участке Троицкой линии от «ЗИЛа» до «Коммунарки» живет почти 1 млн человек, из них в пешей доступности — свыше 400 тыс.
В конце ноября мэр Москвы Сергей Собянин заявил, что строительство участка вышло на финишную прямую. На участке идут строительно-монтажные и отделочные работы, монтаж инженерного оборудования. «По плану — завершить строительные работы до конца следующего года, но старайтесь раньше закончить, потому что готовность высокая», — обратился тогда мэр Москвы к представителю компании-подрядчика во время осмотра строительства станции «Тютчевская».

Проектное решение станции «Тютчевская»
(Фото: Департамент строительства Москвы)
Троицкая линия фактически станет дублером южных участков Сокольнической и Калужско-Рижской линий. «Особенно выиграют пассажиры оранжевой ветки, так как станция «Теплый Стан» перестанет быть главным пересадочным узлом», — подчеркивает Загрутдинов.
Пересадочный узел «Коммунарка»
«Коммунарка» станет первым пересадочным узлом на территории ТиНАО — переход можно будет совершить между Троицкой и Сокольнической линиями. «Коммунарку» на красной ветке открыли в 2019 году. При ее возведении оставили задел для строительства пересадки на одноименную станцию Троицкой линии, которая тогда уже была на этапе проектирования.

Новый пересадочный узел позволит жителям ТиНАО выбирать маршруты передвижения по городу. Сегодня жители Троицка и поселений, расположенных вдоль Калужского шоссе, вынуждены добираться на наземном общественном транспорте до станции метро «Теплый Стан» Калужско-Рижской линии метрополитена, а дальше на метро до центральной части города. После ввода Троицкой линии и пересадочного узла «Коммунарка» у жителей появятся альтернативные маршруты.
Проектное решение станции «Коммунарка»
(Фото: Департамент строительства Москвы)
Помимо «Коммунарки» с Троицкой линии будет переход на Калужско-Рижскую линию через станцию «Академическая». Еще два перехода будут на МЦК — на станциях «ЗИЛ» и «Крымская». На станции «Новаторская» можно будет перейти на одноименную станцию Большой кольцевой линии метро. Кроме того, появится переход на будущую Бирюлевскую линию со станции «ЗИЛ».
Научная точка притяжения
В состав участка с 11 станциями войдет и станция «Университет Дружбы Народов». «В шаговой доступности от новой станции расположено несколько крупных столичных вузов, в том числе Российский университет дружбы народов, Российский государственный геологоразведочный университет, Институт биоорганической химии РАН. С открытием станции тысячи студентов смогут добираться до мест обучения на метро, реже используя наземный транспорт», — подчеркивает глава столичного депстроя.
Станция «Университет Дружбы Народов» важна не только для студентов вузов, но и посетителей научных и медицинских центров, расположенных в этом районе, а также для порядка 240 тыс. человек, проживающих в районах рядом. Открытие «Университета Дружбы Народов», по расчетам столичной мэрии, позволит до 20% разгрузить станции «Беляево» и «Юго-Западная». Местные жители будут экономить до получаса в дороге, путь до МЦК займет 12 минут, до БКЛ — всего 3 минуты. Станет свободнее на Профсоюзной улице и Ленинском проспекте.

Проектное решение станции «Университет Дружбы Народов»
(Фото: Департамент строительства Москвы)
Импульс для развития новых территорий
Идея строительства метро в Новой Москве появились еще в 2011 году, когда было принято решение расширить границы столицы. Изначально новая ветка получила название «Коммунарская», поскольку ее собирались проложить до поселка Коммунарка. Однако в 2019 году было принято решение продлить новый радиус до Троицка, а ветка стала называться Троицкой. С появлением новой линии метро развивающиеся территории Новой Москвы получат скоростное беспересадочное транспортное сообщение с районами центрального, западного, юго-западного и южного секторов Москвы.
Новый радиус позволит улучшить транспортное обслуживание 11 районов столицы: Даниловского, Нагорного, Донского, Котловки, Академического, Гагаринского, Ломоносовского, Обручевского, проспекта Вернадского, Коньково и Теплого Стана. В зоне прохождения Троицкой линии четыре поселения — Мосрентген, Сосенское, Воскресенское, Десеновское, а также городской округ Троицк.
Кроме того, новый радиус метро будет способствовать повышению мобильности трудовых ресурсов. В мэрии подчеркивают, что в целом строительство нового полноценного радиуса метро является одним из важнейших условий роста деловой активности на прилегающих территориях и создает предпосылки для реализации полицентрической модели развития Москвы.
Путь до Троицка
Оставшийся участок в 16,8 км от Коммунарки до Троицка насчитывает шесть станций: «Сосенки», «Ракитки», «Десна», «Кедровая», «Ватутинки» и собственно «Троицк». Строительство будет вестись в два этапа. Вся градостроительная документация оставшегося пути до Троицка уже утверждена. Первый участок, от «Коммунарки» до станции «Кедровая», протяженностью 10,5 км планируют запустить в 2028 году. Строительство последнего участка, от «Кедровой» до станции «Троицк», планируют закончить год спустя — в 2029-м.",6
"Андрей Бочкарев (Фото: Сергей Киселев / АГН «Москва»)
Столичные власти планируют в 2024 году построить за счет средств инвестора школу и детский сад в городе Московский (ТиНАО), сообщил заммэра Москвы по вопросам градостроительной политики и строительства Андрей Бочкарев.
«На территории Новой Москвы за счет внебюджетных источников ведется строительство детского сада на 350 мест общей площадью 5 тыс. кв. м и школы на 1,1 тыс. мест, которая займет примерно 20,1 тыс. кв. м, — уточнил глава градостроительного комплекса. — Оба объекта возводятся согласно инвестконтракту и будут переданы столице».
По словам вице-мэра, в рамках строительства объектов на территории ЖК «Первый Московский», девелопером которого выступает инвестгруппа «Абсолют», также предусмотрено создание спортплощадок и их благоустройство: там появится зона для групповых занятий, а для школьников организуют уличный комплекс с футбольным полем, баскетбольной площадкой и беговой дорожкой.
В мэрии также отметили, что в детском саду разместят помещения для 14 групп, физкультурный и музыкальный залы, кружковую зону, столовую с пищеблоком и медицинский кабинет. В здании школы оборудуют учебные кабинеты, лаборатории, IT-полигон, актовый зал со сценой и гримерными, а также зоны рекреации.
По словам председателя Москомархитектуры Юлианы Княжевской, соответствующая документация в столице оформляется с учетом комплексного развития территорий.
«Формируя планы развития территорий, закладывается возможность создания многофункциональных, максимально комфортных районов как для проживания, так и для учебы, работы, отдыха, — подчеркнула Княжевская. — Обеспеченность жилых кварталов инфраструктурой, тем более в шаговой доступности — важный показатель комфортной городской среды».",6
"Патриарх Кирилл выделил субсидию 150 млн руб. на строительство храма борцов с сектами в Москве. Стоимость оценивалась в 200 млн руб., но после возобновления строительства увеличилась на 100 млн руб. Приход обратился к главе РПЦ
Патриарх Кирилл (Фото: Сергей Бобылев / ТАСС)
Патриарх Московский и всея Руси Кирилл выделил 150 млн руб. на строительство на юге Москвы храма борцов с сектами, задуманного при жизни убитым в 2009 году священником Даниилом Сысоевым, сообщила пресс-служба куратора программы строительства храмов в столице, депутата Госдумы Владимира Ресина.
«Когда после технологического перерыва возобновилось строительство каменного храма Пророка Даниила на «Кантемировской», выяснилось, что стоимость строительства увеличилась на 100 млн руб. Чтобы не тормозить процесс, приход обратился к патриарху Кириллу, и предстоятель РПЦ решил выделить субсидию в размере 150 млн руб. на строительство и благоукрашение храма», — говорится в сообщении.
Ресин рассказал, что общая стоимость проекта составила 300 млн руб., она увеличилась, поскольку «за прошедшие годы подорожала стоимость и материалов, и работ». По его словам, сдача объекта запланирована на вторую половину 2025 года. «Силами прихода уже возведен полноценный нижний крестильный храм со сводами, рассчитанный на 300 человек. <...> С субсидией от патриарха мы сможем сделать все в запланированные сроки», — цитирует депутата пресс-служба.
В сообщении отмечается, что при храме планируют открыть миссионерский магазин и библиотеку. Община храма также создает миссионерский центр для предотвращения угрозы, которую представляют действующие в Москве «различные секты». «Община планирует развернуть деятельность по ознакомлению нехристианских диаспор с основами православного христианства, что в перспективе способствовало бы улучшению межнациональных отношений в Москве», — рассказали в пресс-службе Ресина.
РБК направил запрос в синодальный отдел по взаимоотношениям церкви с обществом и СМИ Московского патриархата.
Клишас назвал провокационным изображение храма без креста на купюрах
Финансы
Ранее приблизительная стоимость строительства храма Пророка Даниила оценивалась в 200 млн руб., а примерная стоимость нулевого цикла (закладки фундамента и коммуникаций) — в 35,6 млн руб. «В новом храме будет продолжаться активная работа по борьбе с сектами и иными оккультными организациями, пагубно влияющими на духовный климат нашего города», — говорится на сайте, посвященном храму.
Программа развития РБК Pro
Освойте 52 навыка за год
Программа развития — удобный инструмент непрерывного обучения новым навыкам для успешной карьеры
Какие неочевидные причины заставляют вас прокрастинировать
Хорошие связи: на какие стили можно разложить нетворкинг
Руководитель, от которого не уходят: как заслужить лояльность подчиненных
Если вы устали, дауншифтинг — не выход. Как сохранить карьеру
Как запоминать по 30 страниц — советы шведского Гранд-мастера памяти
9 способов сделать встречи продуктивнее — от простых до радикальных
Иерей Даниил Сысоев был убит 19 ноября 2009 года в храме Апостола Фомы на Кантемировской улице, где был настоятелем. По основной версии следствия, преступление было совершено на религиозной почве. Священнослужитель не раз выступал с критикой ислама. В 2010 году Следственный комитет сообщил, что предполагаемый убийца был ликвидирован при задержании в Махачкале, в ходе которого оказал сопротивление.",6
"Андрей Бочкарев (Фото: Михаил Гребенщиков / РБК)
В Пресненском районе Центрального административного округа столицы в ходе реорганизации территории бывшей промышленной зоны появится новое социокультурное пространство. Об этом рассказал заммэра Москвы по вопросам градостроительной политики и строительства Андрей Бочкарев.
По словам вице-мэра, кластер на территории бывшего завода Мамонтова включит в себя амфитеатр, игровую площадку и кибердом — мультифункциональное пространство, задуманное для развития российской кибербезопасности. Всю территорию сделают пешеходной, а в центре обустроят площадь, на которой станет возможным проведение лекций, концертов, выставок и летних гастрономических фестивалей.
«На площадке 4,5 га в Пресненском районе помимо восьми жилых корпусов инвестор обустроит пространство, на котором разместятся объекты социальной и культурной инфраструктуры, — уточнил глава столичного градостроительного комплекса. — Более трети площади квартала займут парковые зоны с местами для отдыха, скверами и аллеями, французским парком и двумя садами».
Главный архитектор Москвы Сергей Кузнецов добавил, что архитектурный проект будет сочетать современные здания и отреставрированные дома прошлого столетия. В исторических зданиях разместят все для качественной жизни и развития — шоурум российских дизайнеров, детский сад, фитнес, кофейни, рестораны и другие объекты, которые входят в состав многофункционального жилого комплекса Lucky по адресу: Звенигородское ш., вл. 12.
Что качается кибердома, по словам Кузнецова, здание спроектировано так, чтобы пространство легко трансформировалось под разнообразные по формату события и задачи, а всем гостям было комфортно и интересно. «Для этого здесь открыто кафе, расположены постоянная и временная экспозиции, а также фиджитал-киберполигон в формате шоу», — подчеркнул главный архитектор столицы.",6
