topic,index
3,0
6,1
8,2
4,3
4,4
8,5
2,6
3,7
0,8
3,9
3,10
4,11
8,12
3,13
0,14
0,15
2,16
0,17
0,18
2,19
0,20
8,21
0,22
4,23
4,24
0,25
0,26
4,27
2,28
8,29
4,30
0,31
4,32
4,33
1,34
2,35
0,36
0,37
2,38
1,39
8,40
3,41
3,42
0,43
0,44
4,45
8,46
0,47
2,48
0,49
3,50
2,51
3,52
3,53
2,54
3,55
2,56
3,57
0,58
2,59
0,60
3,61
3,62
0,63
4,64
1,65
2,66
4,67
4,68
4,69
2,70
0,71
0,72
0,73
0,74
5,75
2,76
4,77
3,78
0,79
8,80
5,81
7,82
5,83
1,84
8,85
8,86
2,87
0,88
0,89
2,90
2,91
2,92
4,93
3,94
2,95
8,96
4,97
0,98
0,99
0,100
8,101
0,102
8,103
8,104
8,105
1,106
0,107
2,108
8,109
4,110
0,111
1,112
8,113
0,114
3,115
4,116
8,117
4,118
0,119
4,120
1,121
8,122
1,123
1,124
8,125
0,126
3,127
4,128
4,129
4,130
8,131
0,132
0,133
1,134
6,135
3,136
3,137
1,138
3,139
4,140
4,141
1,142
2,143
8,144
4,145
0,146
3,147
4,148
2,149
4,150
0,151
4,152
2,153
1,154
0,155
2,156
1,157
2,158
2,159
3,160
0,161
0,162
0,163
3,164
0,165
3,166
4,167
3,168
1,169
1,170
2,171
1,172
1,173
2,174
2,175
0,176
8,177
2,178
2,179
2,180
8,181
2,182
1,183
2,184
0,185
4,186
7,187
3,188
0,189
3,190
4,191
5,192
2,193
2,194
1,195
0,196
2,197
0,198
3,199
4,200
4,201
4,202
7,203
4,204
2,205
1,206
1,207
8,208
3,209
3,210
3,211
4,212
0,213
4,214
2,215
0,216
0,217
2,218
3,219
3,220
2,221
3,222
2,223
4,224
7,225
2,226
0,227
0,228
1,229
1,230
7,231
1,232
3,233
8,234
4,235
3,236
1,237
0,238
2,239
3,240
0,241
1,242
4,243
5,244
0,245
4,246
3,247
2,248
8,249
5,250
3,251
3,252
4,253
0,254
0,255
2,256
1,257
2,258
1,259
0,260
4,261
3,262
6,263
8,264
2,265
3,266
0,267
3,268
0,269
1,270
4,271
4,272
0,273
8,274
8,275
2,276
0,277
2,278
2,279
6,280
0,281
4,282
2,283
4,284
4,285
2,286
0,287
0,288
0,289
2,290
3,291
0,292
4,293
4,294
4,295
8,296
4,297
0,298
4,299
7,300
2,301
1,302
3,303
8,304
4,305
3,306
4,307
8,308
0,309
3,310
2,311
4,312
0,313
0,314
4,315
3,316
7,317
0,318
0,319
2,320
1,321
2,322
4,323
3,324
0,325
8,326
2,327
4,328
4,329
2,330
1,331
1,332
2,333
4,334
3,335
3,336
0,337
4,338
2,339
4,340
3,341
1,342
0,343
2,344
4,345
4,346
2,347
8,348
0,349
1,350
8,351
4,352
4,353
1,354
3,355
2,356
0,357
1,358
4,359
2,360
8,361
4,362
4,363
0,364
8,365
0,366
0,367
4,368
0,369
4,370
4,371
1,372
3,373
8,374
0,375
4,376
3,377
1,378
2,379
3,380
3,381
0,382
2,383
3,384
3,385
1,386
3,387
0,388
3,389
0,390
4,391
3,392
1,393
0,394
2,395
4,396
2,397
0,398
2,399
0,400
4,401
0,402
1,403
6,404
4,405
4,406
4,407
3,408
1,409
4,410
2,411
0,412
2,413
4,414
0,415
4,416
7,417
8,418
8,419
4,420
0,421
1,422
0,423
3,424
1,425
4,426
3,427
8,428
2,429
2,430
1,431
0,432
1,433
3,434
2,435
1,436
0,437
1,438
0,439
1,440
2,441
2,442
4,443
0,444
7,445
0,446
2,447
8,448
3,449
0,450
2,451
0,452
1,453
1,454
2,455
3,456
7,457
0,458
8,459
3,460
5,461
8,462
0,463
3,464
3,465
2,466
2,467
4,468
1,469
0,470
3,471
8,472
4,473
0,474
4,475
0,476
0,477
0,478
8,479
0,480
0,481
2,482
1,483
2,484
1,485
2,486
3,487
8,488
0,489
4,490
4,491
4,492
0,493
2,494
7,495
2,496
2,497
0,498
2,499
8,500
3,501
1,502
1,503
2,504
8,505
8,506
0,507
0,508
3,509
4,510
1,511
1,512
2,513
1,514
2,515
7,516
6,517
3,518
3,519
8,520
4,521
3,522
2,523
0,524
2,525
1,526
2,527
3,528
4,529
2,530
4,531
4,532
2,533
8,534
3,535
4,536
0,537
4,538
4,539
3,540
0,541
1,542
2,543
5,544
2,545
7,546
0,547
2,548
1,549
8,550
0,551
4,552
7,553
2,554
0,555
4,556
0,557
2,558
4,559
4,560
2,561
3,562
0,563
8,564
1,565
8,566
8,567
2,568
0,569
2,570
0,571
4,572
2,573
0,574
0,575
2,576
4,577
2,578
0,579
2,580
1,581
0,582
5,583
0,584
8,585
3,586
2,587
8,588
4,589
0,590
3,591
8,592
4,593
4,594
8,595
5,596
6,597
8,598
2,599
1,600
4,601
8,602
2,603
0,604
4,605
0,606
2,607
4,608
2,609
0,610
2,611
2,612
1,613
2,614
2,615
4,616
4,617
4,618
0,619
8,620
4,621
0,622
4,623
2,624
4,625
0,626
0,627
4,628
4,629
4,630
